Iteración,Error absoluto,Error relativo,Error cuadrático
0,1.5833333333333333,0.9999999999368421,5.325216358024692
1,0.5539444444444444,0.3731987573513745,0.33297505687469897
2,0.032825119341563846,0.022614779451534377,0.0015689040521069744
3,0.004481333048010905,0.0030961967434176016,3.911336050680206e-05
4,0.0010667263482682099,0.0007371227294963173,1.2454069499594868e-06
5,0.00011857137663628947,8.19330452158931e-05,1.564711527781321e-08
6,7.786668705600519e-06,5.380573832470073e-06,8.823674615551702e-11
7,1.0459689280262197e-06,7.227621249628259e-07,2.1741125653093967e-12
8,2.5243877188607655e-07,1.744346047062955e-07,6.990156922263513e-14

Solución aproximada
0.9329796812455076
1.4471828700141076
0.7942381240867494
0.393123358462542
